,iso_code,dest_port
0,CN,1747
1,HK,453
2,US,399
3,RU,347
4,BR,139
5,SE,135
6,IN,129
7,NL,109
8,DE,102
9,JP,83
10,CL,58
11,TW,44
12,GB,30
13,PL,28
14,VN,25
15,ES,24
16,AR,22
17,TN,20
18,EE,20
19,UA,15
20,ZA,13
21,VE,12
22,TR,12
23,RO,11
24,EG,10
25,CA,10
26,CO,10
27,PK,10
28,ID,8
29,GR,8
30,FR,6
31,MX,6
32,KR,6
33,IT,5
34,IR,3
35,KN,2
36,SK,2
37,BG,1
38,SG,1
39,BD,1
40,AT,1
41,TH,1
42,HU,1
43,CZ,1
44,SC,1
45,EC,1
46,RS,1
47,PE,1
48,NG,1
49,MY,1
50,LB,1
51,HN,1
52,IL,1
53,AE,1
